Season,Top Buy 1,Price,Team,Top Buy 2,Price,Team
2025,Rishabh Pant,27.00 Cr,LSG,Shreyas Iyer,26.75 Cr,PBKS
2024,Mitchell Starc,24.75 Cr,KKR,Pat Cummins,20.50 Cr,SRH
2023,Sam Curran,18.5 Cr,PBKS,Cameron Green,17.5 Cr,MI
2022,Ishan Kishan,15.25 Cr,MI,Deepak Chahar,14 Cr,CSK
2021,Chris Morris,16.25 Cr,RR,Kyle Jamieson,15 Cr,RCB
2020,Pat Cummins,15.5 Cr,KKR,Glenn Maxwell,10.75 Cr,KXIP
2019,Jaydev Unadkat,8.4 Cr,RR,Varun Chakravarthy,8.4 Cr,KXIP
2018,Ben Stokes,12.5 Cr,RR,Jaydev Unadkat,11.5 Cr,RR
2017,Ben Stokes,14.5 Cr,RPS,Tymal Mills,12 Cr,RCB
2016,Shane Watson,9.5 Cr,RCB,Pawan Negi,8.5 Cr,DD
2015,Yuvraj Singh,16 Cr,DD,Dinesh Karthik,10.5 Cr,RCB
2014,Yuvraj Singh,14 Cr,RCB,Dinesh Karthik,12.5 Cr,DD
2013,Glenn Maxwell,6 Cr,MI,Ajantha Mendis,4.8 Cr,PWI
2012,Ravindra Jadeja,12.8 Cr,CSK,Mahela Jayawardene,6.8 Cr,DD
2011,Gautam Gambhir,14.25 Cr,KKR,Yusuf Pathan,9.66 Cr,KKR
2010,Kieron Pollard,4.7 Cr,MI,Shane Bond,4.8 Cr,KKR
2009,Kevin Pietersen,9.8 Cr,RCB,Andrew Flintoff,9.8 Cr,CSK
2008,MS Dhoni,9.5 Cr,CSK,Andrew Symonds,5.4 Cr,DC
