,Name,Price in rs,Role,TeamName,,Overseas players,Indian players
0,Faf Du Plessis,"4,75,00,000",Batsman,Chennai Super Kings,,,
1,Dwayne Smith,"4,50,00,000",Batsman,Chennai Super Kings,,Faf Du Plessis,Ashish Nehra
2,Brendon McCullum,"3,25,00,000",Wicket Keeper,Chennai Super Kings,,Dwayne Smith,Mohit Sharma
3,Ashish Nehra,"2,00,00,000",Bowler,Chennai Super Kings,,Brendon McCullum,Ishwar Chandra Pandey
4,Mohit Sharma,"2,00,00,000",Bowler,Chennai Super Kings,,Ben Hilfenhaus,Mithun Manhas
5,Ishwar Chandra Pandey,"1,50,00,000",Bowler,Chennai Super Kings,,John Hastings,Vijay Shankar
6,Ben Hilfenhaus,"1,00,00,000",Bowler,Chennai Super Kings,,Samuel Badree,Ronit More
7,John Hastings,"50,00,000",All-Rounder,Chennai Super Kings,,Matt Henry,Baba Aparajith
8,Samuel Badree,"30,00,000",Bowler,Chennai Super Kings,,Nathan Coulter-Nile,Pawan Negi
9,Matt Henry,"30,00,000",Bowler,Chennai Super Kings,,Quinton De Kock,Dinesh Karthik
10,Mithun Manhas,"30,00,000",All-Rounder,Chennai Super Kings,,Jean-Paul Duminy,Murali Vijay
11,Vijay Shankar,"10,00,000",All-Rounder,Chennai Super Kings,,Ross Taylor,Mohammad Shami
12,Ronit More,"10,00,000",Bowler,Chennai Super Kings,,James Neesham,Manoj Tiwary
13,Baba Aparajith,"10,00,000",Batsman,Chennai Super Kings,,Wayne Parnell,Jaydev Unadkat
14,Pawan Negi,"10,00,000",Bowler,Chennai Super Kings,,Mitchell Johnson,Kedar Jadhav
15,Dinesh Karthik,"12,50,00,000",Wicket Keeper,Delhi Daredevils,,Glenn Maxwell,Rahul Sharma
16,Kevin Pietersen,"9,00,00,000",Batsman,Delhi Daredevils,,George Bailey,Mayank Agarwal
17,Murali Vijay,"5,00,00,000",Batsman,Delhi Daredevils,,,Laxmi Ratan Shukla
18,Mohammad Shami,"4,25,00,000",Bowler,Delhi Daredevils,,Jacques Kallis,Shahbaz Nadeem
19,Nathan Coulter-Nile,"4,25,00,000",Bowler,Delhi Daredevils,,Ryan Ten Doeschate,Saurabh Tiwary
20,Quinton De Kock,"3,50,00,000",Wicket Keeper,Delhi Daredevils,,Andre Russell,Siddarth Kaul
21,Manoj Tiwary,"2,80,00,000",Batsman,Delhi Daredevils,,Michael Hussey,Rahul Shukla
22,Jaydev Unadkat,"2,80,00,000",Bowler,Delhi Daredevils,,Corey Anderson,Jayant Yadav
23,Jean-Paul Duminy,"2,20,00,000",Batsman,Delhi Daredevils,,,HS Sharath
24,Ross Taylor,"2,00,00,000",Batsman,Delhi Daredevils,,Josh Hazlewood,Milind Kumar
25,Kedar Jadhav,"2,00,00,000",Batsman,Delhi Daredevils,,Marchant De Lange,Gurkirat Singh Mann
26,Rahul Sharma,"1,90,00,000",Bowler,Delhi Daredevils,,Krismar Santokie,Murali Kartik
27,Mayank Agarwal,"1,60,00,000",Batsman,Delhi Daredevils,,Steven Smith,Sandeep Sharma
28,Laxmi Ratan Shukla,"1,50,00,000",All-Rounder,Delhi Daredevils,,Brad Hodge,Mandeep Singh
29,James Neesham,"1,00,00,000",All-Rounder,Delhi Daredevils,,Tim Southee,Axar Patel
30,Wayne Parnell,"1,00,00,000",Bowler,Delhi Daredevils,,Kane Richardson,Parvinder Awana
31,Shahbaz Nadeem,"85,00,000",Bowler,Delhi Daredevils,,Ben Cutting,Shardul Thakur
32,Saurabh Tiwary,"70,00,000",Batsman,Delhi Daredevils,,Mitchell Starc,Anureet Singh
33,Siddarth Kaul,"45,00,000",Bowler,Delhi Daredevils,,Albie Morkel,Shivam Sharma
34,Rahul Shukla,"40,00,000",Bowler,Delhi Daredevils,,Muttiah Muralitharan,Karanveer Singh
35,Jayant Yadav,"10,00,000",All-Rounder,Delhi Daredevils,,Ravi Rampaul,Robin Uthappa
36,HS Sharath,"10,00,000",Bowler,Delhi Daredevils,,Nic Maddinson,Piyush Chawla
37,Milind Kumar,"10,00,000",Batsman,Delhi Daredevils,,David Warner,Yusuf Pathan
38,Mitchell Johnson,"6,50,00,000",All-Rounder,Kings XI Punjab,,Aaron Finch,
39,Glenn Maxwell,"6,00,00,000",All-Rounder,Kings XI Punjab,,Darren Sammy,R Vinay Kumar
40,George Bailey,"3,25,00,000",Batsman,Kings XI Punjab,,Moises Henriques,Umesh Yadav
41,Virender Sehwag,"3,20,00,000",Batsman,Kings XI Punjab,,Jason Holder,Manish Pandey
42,Rishi Dhawan,"3,00,00,000",All-Rounder,Kings XI Punjab,,Brendan Taylor,
43,Wriddhiman Saha,"2,20,00,000",Wicket Keeper,Kings XI Punjab,,,Suryakumar Yadav
44,Shaun Marsh,"2,20,00,000",Batsman,Kings XI Punjab,,,Manvinder Bisla
45,Cheteshwar Pujara,"1,90,00,000",Batsman,Kings XI Punjab,,,Veer Pratap Singh
46,Beuran Hendricks,"1,80,00,000",Bowler,Kings XI Punjab,,,Kuldeep Yadav
47,Lakshmipathy Balaji,"1,80,00,000",Bowler,Kings XI Punjab,,,Debabrata Das
48,Thisara Perera,"1,60,00,000",All-Rounder,Kings XI Punjab,,,Sayan Mandal
49,Gurkirat Singh Mann,"1,30,00,000",Batsman,Kings XI Punjab,,,Pragyan Ojha
50,Murali Kartik,"1,00,00,000",Bowler,Kings XI Punjab,,,Aditya Tare
51,Sandeep Sharma,"85,00,000",Bowler,Kings XI Punjab,,,Jasprit Bumrah
52,Mandeep Hardev Singh,"80,00,000",All-Rounder,Kings XI Punjab,,,Jalaj Saxena
53,Akshar Rajesh Patel,"75,00,000",All-Rounder,Kings XI Punjab,,,
54,Parvinder Awana,"65,00,000",Bowler,Kings XI Punjab,,,C.M. Gautam
55,Shardul Narendra Thakur,"20,00,000",Bowler,Kings XI Punjab,,,Apoorv Wankhade
56,Anureet Singh,"20,00,000",Bowler,Kings XI Punjab,,,Pawan Suyal
57,Shivam Sharma,"10,00,000",Bowler,Kings XI Punjab,,,Sushant Marathe
58,Karanveer Singh,"10,00,000",All-Rounder,Kings XI Punjab,,,Shreyas Gopal
59,Jacques Kallis,"5,50,00,000",All-Rounder,Kolkata Knight Riders,,,Rajat Bhatia
60,Robin Uthappa,"5,00,00,000",Batsman,Kolkata Knight Riders,,,Dhawal Kulkarni
61,Piyush Chawla,"4,25,00,000",Bowler,Kolkata Knight Riders,,,Abhishek Nayar
62,Yusuf Pathan,"3,25,00,000",All-Rounder,Kolkata Knight Riders,,,Karun Nair
63,Shakib Al Hasan,"2,80,00,000",All-Rounder,Kolkata Knight Riders,,,Unmukt Chand
64,Morne Morkel,"2,80,00,000",Bowler,Kolkata Knight Riders,,,Iqbal Abdullah
65,Ranganath Vinay Kumar,"2,80,00,000",Bowler,Kolkata Knight Riders,,,Deepak Hooda
66,Umesh Yadav,"2,60,00,000",Bowler,Kolkata Knight Riders,,,Dishant Yagnik
67,Manish Pandey,"1,70,00,000",Batsman,Kolkata Knight Riders,,,
68,Chris Lynn,"1,30,00,000",Batsman,Kolkata Knight Riders,,,Vikramjeet Malik
69,Patrick Cummins,"1,00,00,000",Bowler,Kolkata Knight Riders,,,Ankit Sharma
70,Ryan Ten Doeschate,"1,00,00,000",All-Rounder,Kolkata Knight Riders,,,Rahul Tewatia
71,Suryakumar Yadav,"70,00,000",Batsman,Kolkata Knight Riders,,,Ankush Bains
72,Andre Russell,"60,00,000",All-Rounder,Kolkata Knight Riders,,,Amit Mishra
73,Manvinder Bisla,"60,00,000",Wicket Keeper,Kolkata Knight Riders,,,Pravin Tambe
74,Veer Pratap Singh,"40,00,000",Bowler,Kolkata Knight Riders,,,Yuvraj Singh
75,Kuldeep Singh Yadav,"40,00,000",Bowler,Kolkata Knight Riders,,,Varun Aaron
76,Debabrata Das,"20,00,000",Wicket Keeper,Kolkata Knight Riders,,,Ashok Dinda
77,Sayan Sekhar Mandal,"10,00,000",All-Rounder,Kolkata Knight Riders,,,Parthiv Patel
78,Michael Hussey,"5,00,00,000",Batsman,Mumbai Indians,,,Harshal Patel
79,Corey Anderson,"4,50,00,000",All-Rounder,Mumbai Indians,,,Vijay Zol
80,Pragyan Ojha,"3,25,00,000",Bowler,Mumbai Indians,,,Abu Nechim Ahmed
81,Zaheer Khan,"2,60,00,000",Bowler,Mumbai Indians,,,Sachin Rana
