Column1,Name,Price in rs,Role,TeamName,Overseas players,Indian players,Team,Player,Price
0,Kedar Jadhav,"7,80,00,000",All-Rounder, Chennai Super Kings,,,   Chennai Super Kings,MS Dhoni,15
1,Dwayne Bravo,"6,40,00,000",All-Rounder, Chennai Super Kings,Dwayne Bravo,Kedar Jadhav,   Chennai Super Kings,Suresh Raina,11
2,Karn Sharma,"5,00,00,000",Bowler, Chennai Super Kings,Shane Watson,Karn Sharma,   Chennai Super Kings,Ravindra Jadeja,7
3,Shane Watson,"4,00,00,000",All-Rounder, Chennai Super Kings,Faf Du Plessis,Shardul Thakur,MI,Rohit Sharma,15
4,Shardul Narendra Thakur,"2,60,00,000",Bowler, Chennai Super Kings,Mark Wood,Ambati Rayudu,MI,Hardik Pandya,11
5,Ambati Rayudu,"2,20,00,000",Wicket Keeper, Chennai Super Kings,Sam Billings,Murali Vijay,MI,Jasprit Bumrah,7
6,Murali Vijay,"2,00,00,000",Batsman, Chennai Super Kings,Imran Tahir,Harbhajan Singh,RCB,Virat Kohli,17
7,Harbhajan Singh,"2,00,00,000",Bowler, Chennai Super Kings,Mitchell Santner,Deepak Chahar,RCB,AB de Villiers,11
8,Faf Du Plessis,"1,60,00,000",Batsman, Chennai Super Kings,Lungi Ngidi,Asif K M,RCB,Sarfaraz Khan,3
9,Mark Wood,"1,50,00,000",Bowler, Chennai Super Kings,Glenn Maxwell,N Jagadeesan,KKR,Sunil Narine,12.5
10,Sam Billings,"1,00,00,000",Wicket Keeper, Chennai Super Kings,Kagiso Rabada,Kanishk Seth,KKR,Andre Russell,8.5
11,Imran Tahir,"1,00,00,000",Bowler, Chennai Super Kings,Trent Boult,Monu Singh,SRH,David Warner,12
12,Deepak Chahar,"80,00,000",All-Rounder, Chennai Super Kings,Colin Munro,Dhruv Shorey,SRH,Bhuvneshwar Kumar,8.5
13,Mitchell Santner,"50,00,000",All-Rounder, Chennai Super Kings,Daniel Christian,Kshitiz Sharma,RR,Steve Smith,12.5
14,Lungisani Ngidi,"50,00,000",Bowler, Chennai Super Kings,Jason Roy,Chaitanya Bishnoi,KXIP,Axar Patel,6.75
15,Asif K M,"40,00,000",Bowler, Chennai Super Kings,Sandeep Lamichhane,Amit Mishra,DD,Rishabh Pant,8
16,N Jagadeesan,"20,00,000",Wicket Keeper, Chennai Super Kings,Andrew Tye,Shahbaz Nadeem,DD,Shreyas Iyer,7
17,Kanishk Seth,"20,00,000",All-Rounder, Chennai Super Kings,Aaron Finch,Vijay Shankar,DD,Chris Morris,7
18,Monu Singh,"20,00,000",Bowler, Chennai Super Kings,Marcus Stoinis,Rahul Tewatia,,,
19,Dhruv Shorey,"20,00,000",All-Rounder, Chennai Super Kings,Mujeeb Zadran,Mohammad Shami,,,
20,Kshitiz Sharma,"20,00,000",All-Rounder, Chennai Super Kings,David Miller,Gautam Gambhir,,,
21,Chaitanya Bishnoi,"20,00,000",All-Rounder, Chennai Super Kings,Christopher Gayle,Naman Ojha,,,
22,Glenn Maxwell,"9,00,00,000",All-Rounder,Delhi Daredevils,Ben Dwarshuis,Prithvi Shaw,,,
23,Kagiso Rabada,"4,20,00,000",Bowler,Delhi Daredevils,Chris Lynn,Gurkeerat Singh Mann,,,
24,Amit Mishra,"4,00,00,000",Bowler,Delhi Daredevils,Mitchell Starc,Avesh Khan,,,
25,Shahbaz Nadeem,"3,20,00,000",Bowler,Delhi Daredevils,Mitchell Johnson,Abhishek Sharma,,,
26,Vijay Shankar,"3,20,00,000",All-Rounder,Delhi Daredevils,Cameron Delport,Jayant Yadav,,,
27,Rahul Tewatia,"3,00,00,000",All-Rounder,Delhi Daredevils,Javon Searles,Harshal Patel,,,
28,Mohammad Shami,"3,00,00,000",Bowler,Delhi Daredevils,Kieron Pollard,Manjot Kalra,,,
29,Gautam Gambhir,"2,80,00,000",Batsman,Delhi Daredevils,Pat Cummins,Sayan Ghosh,,,
30,Trent Boult,"2,20,00,000",Bowler,Delhi Daredevils,Evin Lewis,KL Rahul,,,
31,Colin Munro,"1,90,00,000",All-Rounder,Delhi Daredevils,Ben Cutting,Ravichandran Ashwin,,,
32,Daniel Christian,"1,50,00,000",All-Rounder,Delhi Daredevils,Mustafizur Rahman,Karun Nair,,,
33,Jason Roy,"1,50,00,000",Batsman,Delhi Daredevils,Jason Behrendorff,Ankit Rajpoot,,,
34,Naman Ojha,"1,40,00,000",Wicket Keeper,Delhi Daredevils,Jean-Paul Duminy,Mohit Sharma,,,
35,Prithvi Shaw,"1,20,00,000",Batsman,Delhi Daredevils,Akila Dananjaya,Barinder Sran,,,
36,Gurkeerat Singh Mann,"75,00,000",All-Rounder,Delhi Daredevils,Ben Stokes,Yuvraj Singh,,,
37,Avesh Khan,"70,00,000",Bowler,Delhi Daredevils,Jofra Archer,Akshdeep Nath,,,
38,Abhishek Sharma,"55,00,000",All-Rounder,Delhi Daredevils,Jos Buttler,Manoj Tiwary,,,
39,Jayant Yadav,"50,00,000",All-Rounder,Delhi Daredevils,Darcy Short,Mayank Agarwal,,,
40,Harshal Patel,"20,00,000",All-Rounder,Delhi Daredevils,Zahir Khan,Manzoor Dar,,,
41,Manjot Kalra,"20,00,000",Batsman,Delhi Daredevils,Ben Laughlin,Pardeep Sahu,,,
42,Sandeep Lamichhane,"20,00,000",Bowler,Delhi Daredevils,Dushmantha Chameera,Mayank Dagar,,,
43,Sayan Ghosh,"20,00,000",Bowler,Delhi Daredevils,Chris Woakes,Dinesh Karthik,,,
44,KL Rahul,"11,00,00,000",Batsman,Kings XI Punjab,Brendon McCullum,Robin Uthappa,,,
45,Ravichandran Ashwin,"7,60,00,000",All-Rounder,Kings XI Punjab,Quinton de Kock,Kuldeep Yadav,,,
46,Andrew Tye,"7,20,00,000",Bowler,Kings XI Punjab,Nathan Coulter-Nile,Piyush Chawla,,,
47,Aaron Finch,"6,20,00,000",Batsman,Kings XI Punjab,Colin de Grandhomme,Nitish Rana,,,
48,Marcus Stoinis,"6,20,00,000",All-Rounder,Kings XI Punjab,Moeen Ali,Kamlesh Nagarkoti,,,
49,Karun Nair,"5,60,00,000",Batsman,Kings XI Punjab,Tim Southee,Shivam Mavi,,,
50,Mujeeb Zadran,"4,00,00,000",Bowler,Kings XI Punjab,Rashid Khan,Shubman Gill,,,
51,Ankit Singh Rajpoot,"3,00,00,000",Bowler,Kings XI Punjab,Kane Williamson,R Vinay Kumar,,,
52,David Miller,"3,00,00,000",Batsman,Kings XI Punjab,Carlos Brathwaite,Rinku Singh,,,
53,Mohit Sharma,"2,40,00,000",Bowler,Kings XI Punjab,Shakib Al Hasan,Apoorv Wankhade,,,
54,Barinder Singh Sran,"2,20,00,000",Bowler,Kings XI Punjab,Mohammad Nabi,Ishank Jaggi,,,
55,Yuvraj Singh,"2,00,00,000",All-Rounder,Kings XI Punjab,Chris Jordan,Krunal Pandya,,,
56,Christopher Gayle,"2,00,00,000",Batsman,Kings XI Punjab,Billy Stanlake,Ishan Kishan,,,
57,Ben Dwarshuis,"1,40,00,000",Bowler,Kings XI Punjab,Lungisani Ngidi,Suryakumar Yadav,,,
58,Akshdeep Nath,"1,00,00,000",All-Rounder,Kings XI Punjab,,Rahul Chahar,,,
59,Manoj Tiwary,"1,00,00,000",Batsman,Kings XI Punjab,Javon Searles,Pradeep Sangwan,,,
60,Mayank Agarwal,"1,00,00,000",Batsman,Kings XI Punjab,Akila Dananjaya,Saurabh Tiwary,,,
61,Manzoor Dar,"20,00,000",All-Rounder,Kings XI Punjab,Ben Stokes,Tajinder Dhillon,,,
62,Pardeep Sahu,"20,00,000",Bowler,Kings XI Punjab,Zahir Khan,Nidheesh Dinesan,,,
63,Mayank Dagar,"20,00,000",All-Rounder,Kings XI Punjab,Rashid Khan,Aditya Tare,,,
64,Chris Lynn,"9,60,00,000",Batsman, Kolkata Knight Riders,  Kuldeep Singh Yadav    ,Siddhesh Lad,,,
65,Mitchell Starc,"9,40,00,000",Bowler, Kolkata Knight Riders,  Javon Philip Searles    ,Mayank Markande,,,
66,Dinesh Karthik,"7,40,00,000",Wicket Keeper, Kolkata Knight Riders,  Apoorv Vijay Wankhade    ,Sharad Lumba,,,
67,Robin Uthappa,"6,40,00,000",Wicket Keeper, Kolkata Knight Riders,  Akila Dananjaya Perera    ,Anukul Roy,,,
68,Kuldeep Singh Yadav,"5,80,00,000",Bowler, Kolkata Knight Riders,  Benjamin Andrew Stokes    ,Mohsin Khan,,,
69,Piyush Chawla,"4,20,00,000",Bowler, Kolkata Knight Riders,  Zahir Khan Pakteen    ,Jaydev Unadkat,,,
70,Nitish Rana,"3,40,00,000",All-Rounder, Kolkata Knight Riders,  Aryaman Vikram Birla    ,Sanju Samson,,,
71,Kamlesh Nagarkoti,"3,20,00,000",All-Rounder, Kolkata Knight Riders,  Yuzvendra Singh Chahal    ,Krishnappa Gowtham,,,
72,Shivam Mavi,"3,00,00,000",All-Rounder, Kolkata Knight Riders,  Washington Sundar    ,Ajinkya Rahane,,,
73,Mitchell Johnson,"2,00,00,000",Bowler, Kolkata Knight Riders,  Murugan Ashwin    ,Rahul Tripathi,,,
74,Shubman Gill,"1,80,00,000",Batsman, Kolkata Knight Riders,  Rashid Khan Arman    ,Dhawal Kulkarni,,,
75,Ranganath Vinay Kumar,"1,00,00,000",Bowler, Kolkata Knight Riders,  Khaleel Ahmed    ,Stuart Binny,,,
76,Rinku Singh,"80,00,000",Batsman, Kolkata Knight Riders,  Mehdi Hasan Miraz  ,Anureet Singh,,,
77,Cameron Delport,"30,00,000",All-Rounder, Kolkata Knight Riders,,Aryaman Birla,,,
78,Javon Searless,"30,00,000",All-Rounder, Kolkata Knight Riders,,Midhun S,,,
79,Apoorv Vijay Wankhade,"20,00,000",Batsman, Kolkata Knight Riders,,Shreyas Gopal,,,
80,Ishank Jaggi,"20,00,000",Batsman, Kolkata Knight Riders,,Prashant Chopra,,,
81,Krunal Pandya,"8,80,00,000",All-Rounder, Mumbai Indians,,Jatin Saxena,,,
82,Ishan Kishan,"6,20,00,000",Wicket Keeper, Mumbai Indians,,Ankit Sharma,,,
83,Kieron Pollard,"5,40,00,000",All-Rounder, Mumbai Indians,,Mahipal Lomror,,,
84,Pat Cummins,"5,40,00,000",Bowler, Mumbai Indians,,Yuzvendra Chahal,,,
85,Evin Lewis,"3,80,00,000",Batsman, Mumbai Indians,,Umesh Yadav,,,
86,Suryakumar Yadav,"3,20,00,000",Batsman, Mumbai Indians,,Washington Sundar,,,
87,Ben Cutting,"2,20,00,000",All-Rounder, Mumbai Indians,,Navdeep Saini,,,
88,Mustafizur Rahman,"2,20,00,000",Bowler, Mumbai Indians,,Mohammed Siraj,,,
89,Rahul Chahar,"1,90,00,000",Bowler, Mumbai Indians,,Murugan Ashwin,,,
90,Pradeep Sangwan,"1,50,00,000",Bowler, Mumbai Indians,,Parthiv Patel,,,
91,Jason Behrendorff,"1,50,00,000",Bowler, Mumbai Indians,,Mandeep Singh,,,
92,Jean-Paul Duminy,"1,00,00,000",All-Rounder, Mumbai Indians,,Manan Vohra,,,
93,Saurabh Tiwary,"80,00,000",Batsman, Mumbai Indians,,Pawan Negi,,,
94,Tajinder Dhillon,"55,00,000",All-Rounder, Mumbai Indians,,Kulwant Khejroliya,,,
95,Akila Dhananjaya,"50,00,000",Bowler, Mumbai Indians,,Aniket Choudhary,,,
96,Nidheesh M D Dinesan,"20,00,000",Bowler, Mumbai Indians,,Pavan Deshpande,,,
97,Aditya Tare,"20,00,000",Wicket Keeper, Mumbai Indians,,Anirudha Joshi,,,
98,Siddhesh Dinesh Lad,"20,00,000",Batsman, Mumbai Indians,,Manish Pandey,,,
99,Mayank Markande,"20,00,000",Bowler, Mumbai Indians,,Shikhar Dhawan,,,
100,Sharad Lumba ,"20,00,000",Batsman, Mumbai Indians,,Wriddhiman Saha,,,
101,Anukul Roy,"20,00,000",All-Rounder, Mumbai Indians,,Siddarth Kaul,,,
102,Mohsin Khan,"20,00,000",Bowler, Mumbai Indians,,Deepak Hooda,,,
103,Benjamin Stokes,"12,50,00,000",All-Rounder, Rajasthan Royals,,Khaleel Ahmed,,,
104,Jaydev Unadkat,"11,50,00,000",Bowler, Rajasthan Royals,,Sandeep Sharma,,,
105,Sanju Samson,"8,00,00,000",Wicket Keeper, Rajasthan Royals,,Yusuf Pathan,,,
106,Jofra Archer,"7,20,00,000",All-Rounder, Rajasthan Royals,,Shreevats Goswami,,,
107,Krishnappa Gowtham,"6,20,00,000",Bowler, Rajasthan Royals,,Basil Thampi,,,
108,Jos Buttler,"4,40,00,000",Wicket Keeper, Rajasthan Royals,,T Natarajan,,,
109,Ajinkya Rahane,"4,00,00,000",Batsman, Rajasthan Royals,,Sachin Baby,,,
110,Darcy Short,"4,00,00,000",All-Rounder, Rajasthan Royals,,Bipul Sharma,,,
