,Name,Nationality,Price in rs,Role,TeamName
0,Robin Uthappa ,Indian ,"2,00,00,000 ",Batsman , Chennai Super Kings
1,Dwayne Bravo ,Overseas ,"4,40,00,000 ",All-Rounder , Chennai Super Kings
2,Ambati Rayudu ,Indian ,"6,75,00,000 ",Wicket Keeper , Chennai Super Kings
3,Deepak Chahar ,Indian ,"14,00,00,000 ",Bowler , Chennai Super Kings
4,C.Hari Nishaanth ,Indian ,"20,00,000 ",Batsman , Chennai Super Kings
5,N. Jagadeesan ,Indian ,"20,00,000 ",Wicket Keeper , Chennai Super Kings
6,K.M. Asif ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings
7,Tushar Deshpande ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings
8,Shivam Dube ,Indian ,"4,00,00,000 ",All-Rounder , Chennai Super Kings
9,Chris Jordan ,Overseas ,"3,60,00,000 ",All-Rounder , Chennai Super Kings
10,Maheesh Theekshana ,Overseas ,"70,00,000 ",Bowler , Chennai Super Kings
11,Rajvardhan Hangargekar ,Indian ,"1,50,00,000 ",All-Rounder , Chennai Super Kings
12,Simarjeet Singh ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings
13,Devon Conway ,Overseas ,"1,00,00,000 ",Batsman , Chennai Super Kings
14,Dwaine Pretorius ,Overseas ,"50,00,000 ",All-Rounder , Chennai Super Kings
15,Mitchell Santner ,Overseas ,"1,90,00,000 ",All-Rounder , Chennai Super Kings
16,Adam Milne ,Overseas ,"1,90,00,000 ",Bowler , Chennai Super Kings
17,Subhranshu Senapati ,Indian ,"20,00,000 ",Batsman , Chennai Super Kings
18,Mukesh Choudhary ,Indian ,"20,00,000 ",Bowler , Chennai Super Kings
19,Prashant Solanki ,Indian ,"1,20,00,000 ",Bowler , Chennai Super Kings
20,K.Bhagath Varma ,Indian ,"20,00,000 ",All-Rounder , Chennai Super Kings
21,David Warner ,Overseas ,"6,25,00,000 ",Batsman , Delhi Capitals
22,Mitchell Marsh ,Overseas ,"6,50,00,000 ",All-Rounder , Delhi Capitals
23,Mustafizur Rahman ,Overseas ,"2,00,00,000 ",Bowler , Delhi Capitals
24,Shardul Thakur ,Indian ,"10,75,00,000 ",Bowler , Delhi Capitals
25,Kuldeep Yadav ,Indian ,"2,00,00,000 ",Bowler , Delhi Capitals
26,Ashwin Hebbar ,Indian ,"20,00,000 ",Batsman , Delhi Capitals
27,Sarfaraz Khan ,Indian ,"20,00,000 ",All-Rounder , Delhi Capitals
28,Kamlesh Nagarkoti ,Indian ,"1,10,00,000 ",All-Rounder , Delhi Capitals
29,K.S. Bharat ,Indian ,"2,00,00,000 ",Wicket Keeper , Delhi Capitals
30,Mandeep Singh ,Indian ,"1,10,00,000 ",Batsman , Delhi Capitals
31,Syed Khaleel Ahmed ,Indian ,"5,25,00,000 ",Bowler , Delhi Capitals
32,Lungisani Ngidi ,Overseas ,"50,00,000 ",Bowler , Delhi Capitals
