Name,Nationality,BasePrices in Rs,Winning Bid in Rs,TeamName,Capped/UnCapped
Noor Ahmad  ,Overseas,"2,00,00,000","10,00,00,000", Chennai Super Kings,Capped
Ravichandaran Ashwin,Indian,"2,00,00,000","9,75,00,000", Chennai Super Kings,Capped
Devon Conway  ,Overseas,"2,00,00,000","6,25,00,000", Chennai Super Kings,Capped
Syed Khaleel Ahmed,Indian,"2,00,00,000","4,80,00,000", Chennai Super Kings,Capped
Rachin Ravindra  ,Overseas,"1,50,00,000","4,00,00,000", Chennai Super Kings,Capped
Anshul Kamboj,Indian,"30,00,000","3,40,00,000", Chennai Super Kings,Uncapped
Rahul Tripathi,Indian,"75,00,000","3,40,00,000", Chennai Super Kings,Capped
Sam Curran  ,Overseas,"2,00,00,000","2,40,00,000", Chennai Super Kings,Capped
Gurjapneet Singh,Indian,"30,00,000","2,20,00,000", Chennai Super Kings,Uncapped
Nathan Ellis  ,Overseas,"1,25,00,000","2,00,00,000", Chennai Super Kings,Capped
Deepak Hooda,Indian,"75,00,000","1,70,00,000", Chennai Super Kings,Capped
Jamie Overton  ,Overseas,"1,50,00,000","1,50,00,000", Chennai Super Kings,Capped
Vijay Shankar,Indian,"30,00,000","1,20,00,000", Chennai Super Kings,Uncapped
Vansh Bedi,Indian,"30,00,000","55,00,000", Chennai Super Kings,Uncapped
Andre Siddarth,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
Shreyas Gopal,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
Ramakrishna Ghosh,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
Kamlesh Nagarkoti,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
Mukesh Choudhary,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
Shaik Rasheed,Indian,"30,00,000","30,00,000", Chennai Super Kings,Uncapped
KL Rahul,Indian,"2,00,00,000","14,00,00,000", Delhi Capitals,Capped
Mitchell Starc  ,Overseas,"2,00,00,000","11,75,00,000", Delhi Capitals,Capped
T. Natarajan,Indian,"2,00,00,000","10,75,00,000", Delhi Capitals,Capped
Jake Fraser-Mcgurk  ,Overseas,"2,00,00,000","9,00,00,000", Delhi Capitals,Capped
Mukesh Kumar,Overseas,"2,00,00,000","8,00,00,000", Delhi Capitals,Capped
Harry Brook  ,Overseas,"2,00,00,000","6,25,00,000", Delhi Capitals,Capped
Ashutosh Sharma,Indian,"30,00,000","3,80,00,000", Delhi Capitals,Uncapped
Mohit Sharma,Indian,"50,00,000","2,20,00,000", Delhi Capitals,Uncapped
Faf Du Plessis  ,Overseas,"2,00,00,000","2,00,00,000", Delhi Capitals,Capped
Sameer Rizvi,Indian,"30,00,000","95,00,000", Delhi Capitals,Uncapped
Donovan Ferreira  ,Overseas,"75,00,000","75,00,000", Delhi Capitals,Capped
Dushmantha Chameera  ,Overseas,"75,00,000","75,00,000", Delhi Capitals,Capped
Vipraj Nigam,Indian,"30,00,000","50,00,000", Delhi Capitals,Uncapped
Karun Nair,Indian,"30,00,000","50,00,000", Delhi Capitals,Uncapped
Madhav Tiwari,Indian,"30,00,000","40,00,000", Delhi Capitals,Uncapped
Tripurana Vijay,Indian,"30,00,000","30,00,000", Delhi Capitals,Uncapped
Manvanth Kumar L,Indian,"30,00,000","30,00,000", Delhi Capitals,Uncapped
Ajay Mandal,Indian,"30,00,000","30,00,000", Delhi Capitals,Uncapped
Darshan Nalkande,Indian,"30,00,000","30,00,000", Delhi Capitals,Uncapped
Jos  Buttler   ,Overseas,"2,00,00,000","15,75,00,000", Gujarat Titans,Capped
Mohammad Siraj,Indian,"2,00,00,000","12,25,00,000", Gujarat Titans,Capped
Kagiso Rabada  ,Overseas,"2,00,00,000","10,75,00,000", Gujarat Titans,Capped
Prasidh Krishna,Indian,"2,00,00,000","9,50,00,000", Gujarat Titans,Capped
Washington Sundar,Indian,"2,00,00,000","3,20,00,000", Gujarat Titans,Capped
Sherfane Rutherford  ,Overseas,"1,50,00,000","2,60,00,000", Gujarat Titans,Capped
Gerald Coetzee  ,Overseas,"1,25,00,000","2,40,00,000", Gujarat Titans,Capped
