Name,TeamName,nationality,price_cr,year
Faf Du Plessis,Chennai Super Kings,Overseas,4.75,2014
Dwayne Smith,Chennai Super Kings,Overseas,4.5,2014
Brendon McCullum,Chennai Super Kings,Overseas,3.25,2014
Ashish Nehra,Chennai Super Kings,Indian,2.0,2014
Mohit Sharma,Chennai Super Kings,Indian,2.0,2014
Ishwar Chandra Pandey,Chennai Super Kings,Indian,1.5,2014
Ben Hilfenhaus,Chennai Super Kings,Overseas,1.0,2014
John Hastings,Chennai Super Kings,Overseas,0.5,2014
Samuel Badree,Chennai Super Kings,Overseas,0.3,2014
Matt Henry,Chennai Super Kings,Overseas,0.3,2014
Mithun Manhas,Chennai Super Kings,Indian,0.3,2014
Vijay Shankar,Chennai Super Kings,Indian,0.1,2014
Ronit More,Chennai Super Kings,Indian,0.1,2014
Baba Aparajith,Chennai Super Kings,Indian,0.1,2014
Pawan Negi,Chennai Super Kings,Indian,0.1,2014
Dinesh Karthik,Delhi Capitals,Indian,12.5,2014
Kevin Pietersen,Delhi Capitals,Overseas,9.0,2014
Murali Vijay,Delhi Capitals,Indian,5.0,2014
Mohammad Shami,Delhi Capitals,Indian,4.25,2014
Nathan Coulter-Nile,Delhi Capitals,Overseas,4.25,2014
Quinton De Kock,Delhi Capitals,Overseas,3.5,2014
Manoj Tiwary,Delhi Capitals,Indian,2.8,2014
Jaydev Unadkat,Delhi Capitals,Indian,2.8,2014
Jean-Paul Duminy,Delhi Capitals,Overseas,2.2,2014
Ross Taylor,Delhi Capitals,Overseas,2.0,2014
Kedar Jadhav,Delhi Capitals,Indian,2.0,2014
Rahul Sharma,Delhi Capitals,Indian,1.9,2014
Mayank Agarwal,Delhi Capitals,Indian,1.6,2014
Laxmi Ratan Shukla,Delhi Capitals,Indian,1.5,2014
James Neesham,Delhi Capitals,Overseas,1.0,2014
Wayne Parnell,Delhi Capitals,Overseas,1.0,2014
Shahbaz Nadeem,Delhi Capitals,Indian,0.85,2014
Saurabh Tiwary,Delhi Capitals,Indian,0.7,2014
Siddarth Kaul,Delhi Capitals,Indian,0.45,2014
Rahul Shukla,Delhi Capitals,Indian,0.4,2014
Jayant Yadav,Delhi Capitals,Indian,0.1,2014
HS Sharath,Delhi Capitals,Indian,0.1,2014
Milind Kumar,Delhi Capitals,Indian,0.1,2014
Mitchell Johnson,Punjab Kings,Overseas,6.5,2014
Glenn Maxwell,Punjab Kings,Overseas,6.0,2014
George Bailey,Punjab Kings,Overseas,3.25,2014
Virender Sehwag,Punjab Kings,Indian,3.2,2014
Rishi Dhawan,Punjab Kings,Indian,3.0,2014
Wriddhiman Saha,Punjab Kings,Indian,2.2,2014
Shaun Marsh,Punjab Kings,Overseas,2.2,2014
Cheteshwar Pujara,Punjab Kings,Indian,1.9,2014
Beuran Hendricks,Punjab Kings,Overseas,1.8,2014
Lakshmipathy Balaji,Punjab Kings,Indian,1.8,2014
Thisara Perera,Punjab Kings,Overseas,1.6,2014
Gurkirat Singh Mann,Punjab Kings,Indian,1.3,2014
Murali Kartik,Punjab Kings,Indian,1.0,2014
Sandeep Sharma,Punjab Kings,Indian,0.85,2014
Mandeep Hardev Singh,Punjab Kings,Indian,0.8,2014
Akshar Rajesh Patel,Punjab Kings,Indian,0.75,2014
Parvinder Awana,Punjab Kings,Indian,0.65,2014
Shardul Narendra Thakur,Punjab Kings,Indian,0.2,2014
Anureet Singh,Punjab Kings,Indian,0.2,2014
Shivam Sharma,Punjab Kings,Indian,0.1,2014
Karanveer Singh,Punjab Kings,Indian,0.1,2014
Jacques Kallis,Kolkata Knight Riders,Overseas,5.5,2014
